"heading","first","last","file"
"Horserace Betting And Olympic Lottery Bill","uk.org.publicwhip/lords/2004-09-14a.1055.0","uk.org.publicwhip/lords/2004-09-14a.1055.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2004-09-14a.xml"
"Tobacco Advertising And Promotion Bill [Hl]","uk.org.publicwhip/lords/2002-03-15a.1089.2","uk.org.publicwhip/lords/2002-03-15a.1089.5","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2002-03-15a.xml"
"European Parliamentary And Local Elections (Pilots) Bill","uk.org.publicwhip/lords/2004-03-01a.446.2","uk.org.publicwhip/lords/2004-03-01a.446.3","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2004-03-01a.xml"
"Product Security And Telecommunications Infrastructure Bill - Third Reading","uk.org.publicwhip/lords/2022-10-19a.1106.5","uk.org.publicwhip/lords/2022-10-19a.1110.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2022-10-19a.xml"
"Non-Domestic Rating (Public Lavatories) Bill - Third Reading","uk.org.publicwhip/lords/2021-04-20a.1733.5","uk.org.publicwhip/lords/2021-04-20a.1736.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2021-04-20a.xml"
"Identity And Language (Northern Ireland) Bill [Hl] - Third Reading","uk.org.publicwhip/lords/2022-07-13b.1493.5","uk.org.publicwhip/lords/2022-07-13b.1497.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2022-07-13b.xml"
"Investigatory Powers Bill - Third Reading","uk.org.publicwhip/lords/2016-10-31b.450.7","uk.org.publicwhip/lords/2016-10-31b.451.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2016-10-31b.xml"
"Uk Infrastructure Bank Bill [Hl] - Third Reading","uk.org.publicwhip/lords/2022-07-11b.1276.8","uk.org.publicwhip/lords/2022-07-11b.1278.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2022-07-11b.xml"
"Government Of Wales Bill","uk.org.publicwhip/lords/2006-07-13b.819.166","uk.org.publicwhip/lords/2006-07-13b.819.167","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2006-07-13b.xml"
"Haulage Permits And Trailer Registration Bill [Hl] - Third Reading","uk.org.publicwhip/lords/2018-04-24c.1478.3","uk.org.publicwhip/lords/2018-04-24c.1479.2","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2018-04-24c.xml"
"National Minimum Wage (Enforcement Notices) Bill [Hl]","uk.org.publicwhip/lords/2003-01-30a.1248.4","uk.org.publicwhip/lords/2003-01-30a.1249.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2003-01-30a.xml"
"Police (Northern Ireland) Bill [Hl]","uk.org.publicwhip/lords/2003-01-30a.1276.3","uk.org.publicwhip/lords/2003-01-30a.1277.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2003-01-30a.xml"
"European Union (Approval Of Treaty Amendment Decision) Bill [Hl]","uk.org.publicwhip/lords/2012-07-04a.687.14","uk.org.publicwhip/lords/2012-07-04a.689.2","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2012-07-04a.xml"
"State Pension Credit Bill [H.l.]","uk.org.publicwhip/lords/2002-02-25a.1284.3","uk.org.publicwhip/lords/2002-02-25a.1285.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2002-02-25a.xml"
"Children Act 1989 (Amendment) (Female Genital Mutilation) Bill [Hl] - Third Reading","uk.org.publicwhip/lords/2018-11-19d.12.6","uk.org.publicwhip/lords/2018-11-19d.12.8","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2018-11-19d.xml"
"Commissioner For Older People (Wales) Bill [Hl]","uk.org.publicwhip/lords/2006-02-15c.1252.0","uk.org.publicwhip/lords/2006-02-15c.1252.2","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2006-02-15c.xml"
"Charities Bill [Hl]","uk.org.publicwhip/lords/2005-11-08c.606.1","uk.org.publicwhip/lords/2005-11-08c.608.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2005-11-08c.xml"
"Pension Schemes (Conversion Of Guaranteed Minimum Pensions) Bill - Third Reading","uk.org.publicwhip/lords/2022-04-27a.275.2","uk.org.publicwhip/lords/2022-04-27a.276.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2022-04-27a.xml"
"British Sign Language Bill - Third Reading","uk.org.publicwhip/lords/2022-04-27a.276.3","uk.org.publicwhip/lords/2022-04-27a.279.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2022-04-27a.xml"
"National Lottery Bill","uk.org.publicwhip/lords/2006-05-23b.709.1","uk.org.publicwhip/lords/2006-05-23b.709.2","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2006-05-23b.xml"
"Company Law Reform Bill [Hl]","uk.org.publicwhip/lords/2006-05-23b.793.1","uk.org.publicwhip/lords/2006-05-23b.797.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2006-05-23b.xml"
"Bishop’s Stortford Cemetery Bill [Hl] - Third Reading","uk.org.publicwhip/lords/2023-09-14b.1114.3","uk.org.publicwhip/lords/2023-09-14b.1115.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2023-09-14b.xml"
"Powers Of Attorney Bill - Third Reading","uk.org.publicwhip/lords/2023-09-14b.1117.2","uk.org.publicwhip/lords/2023-09-14b.1117.5","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2023-09-14b.xml"
"Fisheries Bill [Hl] - Third Reading","uk.org.publicwhip/lords/2020-07-01a.716.3","uk.org.publicwhip/lords/2020-07-01a.718.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2020-07-01a.xml"
"Shark Fins Bill - Third Reading","uk.org.publicwhip/lords/2023-06-16b.2197.2","uk.org.publicwhip/lords/2023-06-16b.2198.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2023-06-16b.xml"
"Co-Operatives, Mutuals And Friendly Societies Bill - Third Reading","uk.org.publicwhip/lords/2023-06-16b.2198.3","uk.org.publicwhip/lords/2023-06-16b.2200.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2023-06-16b.xml"
"Child Support Collection (Domestic Abuse) Bill - Third Reading","uk.org.publicwhip/lords/2023-06-16b.2201.1","uk.org.publicwhip/lords/2023-06-16b.2202.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2023-06-16b.xml"
"Offenders (Day Of Release From Detention) Bill - Third Reading","uk.org.publicwhip/lords/2023-06-16b.2202.3","uk.org.publicwhip/lords/2023-06-16b.2204.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2023-06-16b.xml"
"Supported Housing (Regulatory Oversight) Bill - Third Reading","uk.org.publicwhip/lords/2023-06-16b.2204.2","uk.org.publicwhip/lords/2023-06-16b.2206.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2023-06-16b.xml"
"Ofcom (Duty Regarding Prevention Of Serious Self-Harm And Suicide) Bill [Hl] - Third Reading","uk.org.publicwhip/lords/2023-06-16b.2206.3","uk.org.publicwhip/lords/2023-06-16b.2208.2","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2023-06-16b.xml"
"Coroners (Determination Of Suicide) Bill [Hl] - Third Reading","uk.org.publicwhip/lords/2023-06-16b.2208.4","uk.org.publicwhip/lords/2023-06-16b.2211.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2023-06-16b.xml"
"Heritage Railways And Tramways (Voluntary Work) Bill [Hl] - Third Reading","uk.org.publicwhip/lords/2023-04-21a.899.2","uk.org.publicwhip/lords/2023-04-21a.902.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2023-04-21a.xml"
"Ecology Bill [Hl] - Third Reading","uk.org.publicwhip/lords/2023-04-21a.902.6","uk.org.publicwhip/lords/2023-04-21a.904.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2023-04-21a.xml"
"Employment (Allocation Of Tips) Bill - Third Reading","uk.org.publicwhip/lords/2023-04-21a.904.3","uk.org.publicwhip/lords/2023-04-21a.906.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2023-04-21a.xml"
"Pensions Dashboards (Prohibition Of Indemnification) Bill - Third Reading","uk.org.publicwhip/lords/2023-04-21a.907.1","uk.org.publicwhip/lords/2023-04-21a.909.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2023-04-21a.xml"
"Waste And Emissions Trading Bill [Hl]","uk.org.publicwhip/lords/2003-03-06a.956.2","uk.org.publicwhip/lords/2003-03-06a.957.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2003-03-06a.xml"
"Pensions (Extension Of Automatic Enrolment) (No. 2) Bill - Third Reading","uk.org.publicwhip/lords/2023-09-18a.1200.4","uk.org.publicwhip/lords/2023-09-18a.1201.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2023-09-18a.xml"
"Animals (Low-Welfare Activities Abroad) Bill - Third Reading","uk.org.publicwhip/lords/2023-09-18a.1201.3","uk.org.publicwhip/lords/2023-09-18a.1204.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2023-09-18a.xml"
"Workers (Predictable Terms And Conditions) Bill - Third Reading","uk.org.publicwhip/lords/2023-09-18a.1204.2","uk.org.publicwhip/lords/2023-09-18a.1205.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2023-09-18a.xml"
"Protection From Sex-Based Harassment In Public Bill - Third Reading","uk.org.publicwhip/lords/2023-09-18a.1205.3","uk.org.publicwhip/lords/2023-09-18a.1207.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2023-09-18a.xml"
"Veterans Advisory And Pensions Committees Bill - Third Reading","uk.org.publicwhip/lords/2023-09-18a.1207.2","uk.org.publicwhip/lords/2023-09-18a.1209.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2023-09-18a.xml"
"Firearms Bill - Third Reading","uk.org.publicwhip/lords/2023-09-18a.1209.2","uk.org.publicwhip/lords/2023-09-18a.1210.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2023-09-18a.xml"
"Social Security Fraud Bill [H.l.]","uk.org.publicwhip/lords/2001-03-08a.337.0","uk.org.publicwhip/lords/2001-03-08a.340.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2001-03-08a.xml"
"European Communities (Amendment) Bill","uk.org.publicwhip/lords/2002-01-28a.31.0","uk.org.publicwhip/lords/2002-01-28a.36.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2002-01-28a.xml"
"Bank Of England And Financial Services Bill [Hl] — Third Reading","uk.org.publicwhip/lords/2016-01-19a.650.1","uk.org.publicwhip/lords/2016-01-19a.653.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2016-01-19a.xml"
"Courts And Tribunals (Judiciary And Functions Of Staff) Bill [Hl] - Third Reading","uk.org.publicwhip/lords/2018-11-13b.1788.1","uk.org.publicwhip/lords/2018-11-13b.1788.6","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2018-11-13b.xml"
"Ivory Bill - Third Reading","uk.org.publicwhip/lords/2018-11-13b.1789.1","uk.org.publicwhip/lords/2018-11-13b.1792.4","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2018-11-13b.xml"
"Housing And Planning Bill - Third Reading","uk.org.publicwhip/lords/2016-04-27c.1179.0","uk.org.publicwhip/lords/2016-04-27c.1181.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2016-04-27c.xml"
"Immigration And Social Security Co-Ordination (Eu Withdrawal) Bill - Third Reading","uk.org.publicwhip/lords/2020-10-12c.882.3","uk.org.publicwhip/lords/2020-10-12c.885.2","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2020-10-12c.xml"
"Police (Northern Ireland) Bill","uk.org.publicwhip/lords/2000-11-15a.338.3","uk.org.publicwhip/lords/2000-11-15a.338.4","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2000-11-15a.xml"
"Health And Social Care (National Data Guardian) Bill - Third Reading","uk.org.publicwhip/lords/2018-12-12c.1344.4","uk.org.publicwhip/lords/2018-12-12c.1345.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2018-12-12c.xml"
"Sexual Offences Bill [Hl]","uk.org.publicwhip/lords/2003-06-17a.751.1","uk.org.publicwhip/lords/2003-06-17a.751.2","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2003-06-17a.xml"
"Regulatory Reform Bill [H.l.]","uk.org.publicwhip/lords/2001-02-26a.992.5","uk.org.publicwhip/lords/2001-02-26a.992.6","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2001-02-26a.xml"
"Higher Education Bill","uk.org.publicwhip/lords/2004-06-22a.1193.1","uk.org.publicwhip/lords/2004-06-22a.1195.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2004-06-22a.xml"
"Courts Bill [Hl]","uk.org.publicwhip/lords/2003-05-19a.548.0","uk.org.publicwhip/lords/2003-05-19a.549.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2003-05-19a.xml"
"Small Business, Enterprise And Employment Bill","uk.org.publicwhip/lords/2015-03-17a.1009.2","uk.org.publicwhip/lords/2015-03-17a.1013.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2015-03-17a.xml"
"Elderly Social Care (Insurance) Bill [Hl] - Third Reading","uk.org.publicwhip/lords/2022-03-04b.1057.2","uk.org.publicwhip/lords/2022-03-04b.1059.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2022-03-04b.xml"
"Organ Tourism And Cadavers On Display Bill [Hl] - Third Reading","uk.org.publicwhip/lords/2022-03-04b.1059.2","uk.org.publicwhip/lords/2022-03-04b.1060.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2022-03-04b.xml"
"Education (Environment And Sustainable Citizenship) Bill [Hl] - Third Reading","uk.org.publicwhip/lords/2022-03-04b.1060.3","uk.org.publicwhip/lords/2022-03-04b.1062.2","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2022-03-04b.xml"
"International Development Bill [Hl]","uk.org.publicwhip/lords/2001-10-25a.1129.0","uk.org.publicwhip/lords/2001-10-25a.1135.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2001-10-25a.xml"
"Travel Concessions (Eligibility) Bill [Hl]","uk.org.publicwhip/lords/2001-10-25a.1135.2","uk.org.publicwhip/lords/2001-10-25a.1136.2","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2001-10-25a.xml"
"Professional Qualifications Bill [Hl] - Third Reading","uk.org.publicwhip/lords/2021-11-17b.237.4","uk.org.publicwhip/lords/2021-11-17b.241.2","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2021-11-17b.xml"
"European Union (Notification Of Withdrawal) Bill - Third Reading","uk.org.publicwhip/lords/2017-03-07b.1339.3","uk.org.publicwhip/lords/2017-03-07b.1345.6","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2017-03-07b.xml"
"Criminal Justice And Court Services Bill","uk.org.publicwhip/lords/2000-11-08a.1558.0","uk.org.publicwhip/lords/2000-11-08a.1559.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2000-11-08a.xml"
"Employment Bill","uk.org.publicwhip/lords/2002-06-27a.1542.0","uk.org.publicwhip/lords/2002-06-27a.1542.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2002-06-27a.xml"
"Health Bill","uk.org.publicwhip/lords/2006-07-04b.121.140","uk.org.publicwhip/lords/2006-07-04b.121.143","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2006-07-04b.xml"
"Licensing Bill [Hl]","uk.org.publicwhip/lords/2003-03-11a.1289.2","uk.org.publicwhip/lords/2003-03-11a.1291.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2003-03-11a.xml"
"Medical Innovation Bill [Hl]","uk.org.publicwhip/lords/2015-01-23a.1590.0","uk.org.publicwhip/lords/2015-01-23a.1592.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2015-01-23a.xml"
"Levelling-Up And Regeneration Bill - Third Reading","uk.org.publicwhip/lords/2023-09-21a.1559.3","uk.org.publicwhip/lords/2023-09-21a.1564.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2023-09-21a.xml"
"Forensic Science Regulator Bill - Third Reading","uk.org.publicwhip/lords/2021-04-22d.1968.2","uk.org.publicwhip/lords/2021-04-22d.1968.4","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2021-04-22d.xml"
"National Security And Investment Bill - Third Reading","uk.org.publicwhip/lords/2021-04-22d.1968.8","uk.org.publicwhip/lords/2021-04-22d.1973.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2021-04-22d.xml"
"Police Reform Bill [Hl]","uk.org.publicwhip/lords/2002-04-25a.421.0","uk.org.publicwhip/lords/2002-04-25a.421.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2002-04-25a.xml"
"Parliament Square (Management) Bill [Hl]","uk.org.publicwhip/lords/2012-04-25a.1794.4","uk.org.publicwhip/lords/2012-04-25a.1795.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2012-04-25a.xml"
"Prevention Of Terrorism Bill","uk.org.publicwhip/lords/2005-03-08c.726.0","uk.org.publicwhip/lords/2005-03-08c.726.4","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2005-03-08c.xml"
"Local Government Bill [H.l.]","uk.org.publicwhip/lords/2000-03-09a.1242.0","uk.org.publicwhip/lords/2000-03-09a.1242.4","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2000-03-09a.xml"
"Lords Spiritual (Women) Bill — Third Reading","uk.org.publicwhip/lords/2015-03-12a.772.4","uk.org.publicwhip/lords/2015-03-12a.772.6","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2015-03-12a.xml"
"Financial Services And Markets Bill","uk.org.publicwhip/lords/2000-05-18a.447.0","uk.org.publicwhip/lords/2000-05-18a.448.2","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2000-05-18a.xml"
"Ministerial And Other Maternity Allowances Bill - Committee (And Remaining Stages)","uk.org.publicwhip/lords/2021-02-25c.966.2","uk.org.publicwhip/lords/2021-02-25c.966.4","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2021-02-25c.xml"
"European Union (Accessions) Bill","uk.org.publicwhip/lords/2006-02-07c.513.2","uk.org.publicwhip/lords/2006-02-07c.517.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2006-02-07c.xml"
"Civil Liability Bill [Hl] - Third Reading","uk.org.publicwhip/lords/2018-06-27b.198.3","uk.org.publicwhip/lords/2018-06-27b.201.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2018-06-27b.xml"
"Secure Tenancies (Victims Of Domestic Abuse) Bill [Hl] - Third Reading","uk.org.publicwhip/lords/2018-03-13a.1509.2","uk.org.publicwhip/lords/2018-03-13a.1511.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2018-03-13a.xml"
"Agriculture Bill - Third Reading","uk.org.publicwhip/lords/2020-10-01b.312.3","uk.org.publicwhip/lords/2020-10-01b.317.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2020-10-01b.xml"
"Consumer Credit Bill","uk.org.publicwhip/lords/2006-03-21b.151.7","uk.org.publicwhip/lords/2006-03-21b.152.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2006-03-21b.xml"
"Pension Schemes Bill [Hl] - Third Reading","uk.org.publicwhip/lords/2020-07-15a.1668.1","uk.org.publicwhip/lords/2020-07-15a.1671.3","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2020-07-15a.xml"
"Football (Disorder) Bill","uk.org.publicwhip/lords/2000-07-26a.471.1","uk.org.publicwhip/lords/2000-07-26a.481.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2000-07-26a.xml"
"Insolvency Bill [H.l.]","uk.org.publicwhip/lords/2000-07-26a.495.0","uk.org.publicwhip/lords/2000-07-26a.495.3","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2000-07-26a.xml"
"Armed Forces (Pensions And Compensation) Bill","uk.org.publicwhip/lords/2004-09-15a.1206.0","uk.org.publicwhip/lords/2004-09-15a.1206.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2004-09-15a.xml"
"Financial Guidance And Claims Bill [Hl] - Third Reading","uk.org.publicwhip/lords/2017-11-21b.105.1","uk.org.publicwhip/lords/2017-11-21b.106.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2017-11-21b.xml"
"Animal Welfare (Service Animals) Bill - Third Reading","uk.org.publicwhip/lords/2019-04-02b.113.1","uk.org.publicwhip/lords/2019-04-02b.113.3","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2019-04-02b.xml"
"Education Bill","uk.org.publicwhip/lords/2002-07-03a.315.2","uk.org.publicwhip/lords/2002-07-03a.318.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2002-07-03a.xml"
"International Development (Official Development Assistance Target) Bill","uk.org.publicwhip/lords/2015-03-09a.445.6","uk.org.publicwhip/lords/2015-03-09a.446.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2015-03-09a.xml"
"Social Security (Up-Rating Of Benefits) Bill - Report (And Remaining Stages)","uk.org.publicwhip/lords/2020-11-17b.1339.5","uk.org.publicwhip/lords/2020-11-17b.1342.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2020-11-17b.xml"
