"heading","first","last","file"
"Critical Benchmarks (References And Administrators’ Liability) Bill [Hl] - Third Reading","uk.org.publicwhip/lords/2021-11-02a.1120.2","uk.org.publicwhip/lords/2021-11-02a.1121.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2021-11-02a.xml"
"Adoption And Children Bill","uk.org.publicwhip/lords/2002-10-30a.250.1","uk.org.publicwhip/lords/2002-10-30a.252.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2002-10-30a.xml"
"Police And Justice Bill","uk.org.publicwhip/lords/2006-10-18c.839.1","uk.org.publicwhip/lords/2006-10-18c.839.5","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2006-10-18c.xml"
"Local Audit And Accountability Bill [Hl]","uk.org.publicwhip/lords/2013-07-24a.1336.1","uk.org.publicwhip/lords/2013-07-24a.1337.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2013-07-24a.xml"
"Localism Bill","uk.org.publicwhip/lords/2011-10-31a.1109.0","uk.org.publicwhip/lords/2011-10-31a.1110.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2011-10-31a.xml"
"International Criminal Court Bill [H.l.]","uk.org.publicwhip/lords/2001-03-20a.1333.5","uk.org.publicwhip/lords/2001-03-20a.1335.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2001-03-20a.xml"
"Civil Aviation Bill","uk.org.publicwhip/lords/2006-03-28b.721.0","uk.org.publicwhip/lords/2006-03-28b.721.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2006-03-28b.xml"
"National Citizen Service Bill [Hl] - Third Reading","uk.org.publicwhip/lords/2016-12-14b.1262.3","uk.org.publicwhip/lords/2016-12-14b.1263.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2016-12-14b.xml"
"Alan Turing (Statutory Pardon) Bill [Hl] — Third Reading","uk.org.publicwhip/lords/2013-10-30a.1584.5","uk.org.publicwhip/lords/2013-10-30a.1585.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2013-10-30a.xml"
"Non-Domestic Rating Bill - Third Reading","uk.org.publicwhip/lords/2023-10-16b.13.5","uk.org.publicwhip/lords/2023-10-16b.16.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2023-10-16b.xml"
"Armed Forces Bill","uk.org.publicwhip/lords/2011-10-10a.1351.0","uk.org.publicwhip/lords/2011-10-10a.1352.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2011-10-10a.xml"
"Communications Bill","uk.org.publicwhip/lords/2003-07-08a.257.2","uk.org.publicwhip/lords/2003-07-08a.261.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2003-07-08a.xml"
"Education And Adoption Bill","uk.org.publicwhip/lords/2016-02-08a.1998.0","uk.org.publicwhip/lords/2016-02-08a.2001.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2016-02-08a.xml"
"Parking Places (Variation Of Charges) Bill - Third Reading","uk.org.publicwhip/lords/2017-03-21a.151.8","uk.org.publicwhip/lords/2017-03-21a.152.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2017-03-21a.xml"
"Parental Bereavement (Leave And Pay) Bill - Third Reading","uk.org.publicwhip/lords/2018-07-24b.1609.5","uk.org.publicwhip/lords/2018-07-24b.1610.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2018-07-24b.xml"
"Kew Gardens (Leases) (No. 3) Bill [Hl] - Third Reading","uk.org.publicwhip/lords/2019-06-11c.368.3","uk.org.publicwhip/lords/2019-06-11c.369.3","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2019-06-11c.xml"
"Merchant Shipping (Pollution) Bill [Hl]","uk.org.publicwhip/lords/2005-10-26c.1169.8","uk.org.publicwhip/lords/2005-10-26c.1170.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2005-10-26c.xml"
"United Kingdom Internal Market Bill - Third Reading","uk.org.publicwhip/lords/2020-12-02c.761.4","uk.org.publicwhip/lords/2020-12-02c.769.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2020-12-02c.xml"
"Fraud Bill [Hl]","uk.org.publicwhip/lords/2006-03-29b.783.0","uk.org.publicwhip/lords/2006-03-29b.783.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2006-03-29b.xml"
"Immigration, Asylum And Nationality Bill","uk.org.publicwhip/lords/2006-03-14c.1205.2","uk.org.publicwhip/lords/2006-03-14c.1206.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2006-03-14c.xml"
"Wellbeing Of Future Generations Bill [Hl] - Third Reading","uk.org.publicwhip/lords/2022-02-04b.1153.3","uk.org.publicwhip/lords/2022-02-04b.1154.2","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2022-02-04b.xml"
"Fur Farming (Prohibition) Bill","uk.org.publicwhip/lords/2000-11-13a.14.2","uk.org.publicwhip/lords/2000-11-13a.18.6","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2000-11-13a.xml"
"Armed Forces (Flexible Working) Bill [Hl] - Third Reading","uk.org.publicwhip/lords/2017-10-25b.939.3","uk.org.publicwhip/lords/2017-10-25b.943.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2017-10-25b.xml"
