heading,first,last,file,leg_title,notes,already_checked
Finance Bill,uk.org.publicwhip/lords/2001-05-10a.1100.2,uk.org.publicwhip/lords/2001-05-10a.1110.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2001-05-10a.xml,Finance Act 2001,,1
Rating (Former Agricultural Premises And Rural Shops) Bill,uk.org.publicwhip/lords/2001-05-10a.1111.2,uk.org.publicwhip/lords/2001-05-10a.1132.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2001-05-10a.xml,Rating (Former Agricultural Premises and Rural Shops) Act 2001,,1
Corporation Tax Bill — Second Reading,uk.org.publicwhip/lords/2009-03-25a.721.2,uk.org.publicwhip/lords/2009-03-25a.730.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2009-03-25a.xml,Corporation Tax Act 2009,NA,NA
Asset Freezing (Compensation) Bill [Hl] - Second Reading,uk.org.publicwhip/lords/2016-06-10a.943.1,uk.org.publicwhip/lords/2016-06-10a.956.2,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2016-06-10a.xml,NA,,1
Register Of Arms Brokers Bill [Hl] - Second Reading,uk.org.publicwhip/lords/2016-06-10a.956.3,uk.org.publicwhip/lords/2016-06-10a.972.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2016-06-10a.xml,NA,,1
Renters’ Rights Bill [Hl] - Second Reading,uk.org.publicwhip/lords/2016-06-10a.972.1,uk.org.publicwhip/lords/2016-06-10a.990.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2016-06-10a.xml,NA,,1
Parliament Act 1949 (Amendment) Bill [Hl],uk.org.publicwhip/lords/2002-01-16a.1154.1,uk.org.publicwhip/lords/2002-01-16a.1176.3,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2002-01-16a.xml,NA,,1
Littering From Vehicles Bill [Hl] — Second Reading,uk.org.publicwhip/lords/2013-07-19a.981.1,uk.org.publicwhip/lords/2013-07-19a.1006.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2013-07-19a.xml,NA,NA,NA
Alan Turing (Statutory Pardon) Bill [Hl] — Second Reading,uk.org.publicwhip/lords/2013-07-19a.1006.1,uk.org.publicwhip/lords/2013-07-19a.1024.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2013-07-19a.xml,NA,NA,NA
Clean Neighbourhoods And Environment (Amendment) Bill [Hl] — Second Reading,uk.org.publicwhip/lords/2013-07-19a.1024.1,uk.org.publicwhip/lords/2013-07-19a.1034.1,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2013-07-19a.xml,NA,NA,NA
Co-Operative And Community Benefit Societies Bill [Hl] — Second Reading,uk.org.publicwhip/lords/2014-01-13a.93.2,uk.org.publicwhip/lords/2014-01-13a.97.1,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2014-01-13a.xml,Co-operative and Community Benefit Societies Act 2014,NA,NA
Industrial And Provident Societies Bill,uk.org.publicwhip/lords/2002-05-29a.1460.3,uk.org.publicwhip/lords/2002-05-29a.1478.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2002-05-29a.xml,Industrial and Provident Societies Act 2002 (repealed),,1
Judicial Review And Courts Bill - Second Reading,uk.org.publicwhip/lords/2022-02-07c.1342.3,uk.org.publicwhip/lords/2022-02-07c.1384.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2022-02-07c.xml,Judicial Review and Courts Act 2022,,1
European Union (Withdrawal) (No. 5) Bill - Second Reading,uk.org.publicwhip/lords/2019-04-04b.331.1,uk.org.publicwhip/lords/2019-04-04b.378.5,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2019-04-04b.xml,NA,,1
Northern Ireland Protocol Bill - Second Reading,uk.org.publicwhip/lords/2022-10-11a.674.2,uk.org.publicwhip/lords/2022-10-11a.678.2,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2022-10-11a.xml,NA,,1
