heading,first,last,file,leg_title
Building Societies (Funding) And Mutual Societies (Transfers) Bill,uk.org.publicwhip/lords/2007-10-12a.457.2,uk.org.publicwhip/lords/2007-10-12a.460.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2007-10-12a.xml,Building Societies (Funding) and Mutual Societies (Transfers) Act 2007
Business And Planning Bill - Third Reading,uk.org.publicwhip/lords/2020-07-20b.2040.4,uk.org.publicwhip/lords/2020-07-20b.2041.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2020-07-20b.xml,Business and Planning Act 2020
Care Standards Bill [H.l.],uk.org.publicwhip/lords/2000-04-04a.1232.7,uk.org.publicwhip/lords/2000-04-04a.1232.8,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2000-04-04a.xml,Care Standards Act 2000
Carer’s Leave Bill - Third Reading,uk.org.publicwhip/lords/2023-05-19b.522.5,uk.org.publicwhip/lords/2023-05-19b.525.1,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2023-05-19b.xml,Carer's Leave Act 2023
Charities Bill [Hl],uk.org.publicwhip/lords/2005-11-08c.606.1,uk.org.publicwhip/lords/2005-11-08c.608.1,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2005-11-08c.xml,Charities Act 2006
Charities Bill [Hl] - Third Reading,uk.org.publicwhip/lords/2022-01-10a.816.1,uk.org.publicwhip/lords/2022-01-10a.818.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2022-01-10a.xml,Charities Act 2022
Cheques (Scotland) Bill [H.l.],uk.org.publicwhip/lords/2000-07-19a.1016.4,uk.org.publicwhip/lords/2000-07-19a.1016.5,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2000-07-19a.xml,NA
Child Poverty Bill,uk.org.publicwhip/lords/2010-03-17a.645.5,uk.org.publicwhip/lords/2010-03-17a.646.2,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2010-03-17a.xml,Child Poverty Act 2010
Child Support (Enforcement) Bill - Third Reading,uk.org.publicwhip/lords/2023-07-14a.1979.2,uk.org.publicwhip/lords/2023-07-14a.1980.1,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2023-07-14a.xml,Child Support (Enforcement) Act 2023
Child Support Collection (Domestic Abuse) Bill - Third Reading,uk.org.publicwhip/lords/2023-06-16b.2201.1,uk.org.publicwhip/lords/2023-06-16b.2202.1,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2023-06-16b.xml,Child Support Collection (Domestic Abuse) Act 2023
Childcare Bill,uk.org.publicwhip/lords/2006-06-26d.1033.6,uk.org.publicwhip/lords/2006-06-26d.1034.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2006-06-26d.xml,Childcare Act 2006
Childcare Bill [Hl] — Third Reading,uk.org.publicwhip/lords/2015-10-26a.975.7,uk.org.publicwhip/lords/2015-10-26a.976.1,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2015-10-26a.xml,Childcare Act 2016
