heading,first,last,file,leg_title
Animals (Low-Welfare Activities Abroad) Bill - Second Reading,uk.org.publicwhip/lords/2023-07-14a.1994.2,uk.org.publicwhip/lords/2023-07-14a.2005.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2023-07-14a.xml,Animals (Low-Welfare Activities Abroad) Act 2023
Coinage (Measurement) Act 2011,uk.org.publicwhip/lords/2011-07-15a.983.4,uk.org.publicwhip/lords/2011-07-15a.990.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2011-07-15a.xml,Coinage (Measurement) Act 2011
Commons Bill [HL],uk.org.publicwhip/lords/2005-07-20b.1487.1,uk.org.publicwhip/lords/2005-07-20b.1527.1,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2005-07-20b.xml,Commons Act 2006
Commonwealth Development Corporation Bill - Second Reading (and remaining stages),uk.org.publicwhip/lords/2017-02-09a.1865.5,uk.org.publicwhip/lords/2017-02-09a.1897.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2017-02-09a.xml,Commonwealth Development Corporation Act 2017
Company Law Reform Bill [HL],uk.org.publicwhip/lords/2006-01-11c.180.1,uk.org.publicwhip/lords/2006-01-11c.247.1,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2006-01-11c.xml,Companies Act 2006
Constitutional Reform and Governance Bill ,uk.org.publicwhip/lords/2010-03-24a.959.0,uk.org.publicwhip/lords/2010-03-24a.1054.5,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2010-03-24a.xml,Constitutional Reform and Governance Act 2010
Consumer Insurance (Disclosure and Representations) Bill [HL] — Second Reading,uk.org.publicwhip/lords/2011-06-15a.789.3,uk.org.publicwhip/lords/2011-06-15a.789.6,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2011-06-15a.xml,Consumer Insurance (Disclosure and Representations) Act 2012
Contingencies Fund Bill - Second Reading (and remaining stages),uk.org.publicwhip/lords/2020-03-25a.1791.3,uk.org.publicwhip/lords/2020-03-25a.1792.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2020-03-25a.xml,Contingencies Fund Act 2021
Copyright (Visually Impaired Persons) Bill,uk.org.publicwhip/lords/2002-07-12a.902.1,uk.org.publicwhip/lords/2002-07-12a.915.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2002-07-12a.xml,Copyright (Visually Impaired Persons) Act 2002 (repealed)
Corporation Tax Bill,uk.org.publicwhip/lords/2010-03-02a.1409.5,uk.org.publicwhip/lords/2010-03-02a.1413.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2010-03-02a.xml,Corporation Tax Act 2010
Counter-Terrorism and Border Security Bill - Second Reading,uk.org.publicwhip/lords/2018-10-09c.14.9,uk.org.publicwhip/lords/2018-10-09c.55.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2018-10-09c.xml,Counter-Terrorism and Border Security Act 2019
Counter-Terrorism and Border Security Bill - Second Reading (Continued),uk.org.publicwhip/lords/2018-10-09c.74.3,uk.org.publicwhip/lords/2018-10-09c.110.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2018-10-09c.xml,Counter-Terrorism and Border Security Act 2019
Crime and Security Bill,uk.org.publicwhip/lords/2010-03-29a.1225.9,uk.org.publicwhip/lords/2010-03-29a.1270.1,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2010-03-29a.xml,Crime and Security Act 2010
Criminal Finances Bill - Second Reading,uk.org.publicwhip/lords/2017-03-09a.1475.0,uk.org.publicwhip/lords/2017-03-09a.1519.1,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2017-03-09a.xml,Criminal Finances Act 2017
Data Retention and Investigatory Powers Bill — Second Reading,uk.org.publicwhip/lords/2014-07-16a.599.11,uk.org.publicwhip/lords/2014-07-16a.662.3,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2014-07-16a.xml,Data Retention and Investigatory Powers Act 2014
Dealing in Cultural Objects (Offences) Bill,uk.org.publicwhip/lords/2003-09-12a.543.4,uk.org.publicwhip/lords/2003-09-12a.560.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2003-09-12a.xml,Dealing in Cultural Objects (Offences) Act 2003
Debt Relief (Developing Countries) Bill,uk.org.publicwhip/lords/2010-04-08a.1695.1,uk.org.publicwhip/lords/2010-04-08a.1695.1,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2010-04-08a.xml,Debt Relief (Developing Countries) Act 2010
Domestic Abuse Bill - Second Reading,uk.org.publicwhip/lords/2021-01-05d.19.8,uk.org.publicwhip/lords/2021-01-05d.124.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2021-01-05d.xml,Domestic Abuse Act 2021
Elections Bill,uk.org.publicwhip/lords/2001-04-05a.914.2,uk.org.publicwhip/lords/2001-04-05a.955.3,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2001-04-05a.xml,Elections Act 2001
Electronic Trade Documents Bill [HL] - Second Reading,uk.org.publicwhip/lords/2022-11-30a.1783.5,uk.org.publicwhip/lords/2022-11-30a.1783.5,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2022-11-30a.xml,Electronic Trade Documents Act 2023
Employment Bill [HL],uk.org.publicwhip/lords/2008-01-07b.636.8,uk.org.publicwhip/lords/2008-01-07b.645.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2008-01-07b.xml,Employment Act 2008
Estates of Deceased Persons (Forfeiture Rule and Law of Succession) Bill,uk.org.publicwhip/lords/2011-05-13a.1106.2,uk.org.publicwhip/lords/2011-05-13a.1106.2,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2011-05-13a.xml,Estates of Deceased Persons (Forfeiture Rule and Law of Succession) Act 2011
European Union (Accessions) Bill,uk.org.publicwhip/lords/2003-07-03a.1065.1,uk.org.publicwhip/lords/2003-07-03a.1095.1,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2003-07-03a.xml,European Union (Accessions) Act 2003 (repealed)
European Union (Future Relationship) Bill - Second Reading (and remaining stages),uk.org.publicwhip/lords/2020-12-30b.1805.5,uk.org.publicwhip/lords/2020-12-30b.1805.6,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2020-12-30b.xml,European Union (Future Relationship) Act 2020
