"wikidata_id","twfy_id"
"http://www.wikidata.org/entity/Q290823","uk.org.publicwhip/cons/1"
"http://www.wikidata.org/entity/Q1070140","uk.org.publicwhip/cons/98"
"http://www.wikidata.org/entity/Q42298245","uk.org.publicwhip/cons/745"
"http://www.wikidata.org/entity/Q16998724","uk.org.publicwhip/cons/1525"
"http://www.wikidata.org/entity/Q5449840","uk.org.publicwhip/cons/1650"
"http://www.wikidata.org/entity/Q43291368","uk.org.publicwhip/cons/938"
"http://www.wikidata.org/entity/Q4667193","uk.org.publicwhip/cons/1671"
"http://www.wikidata.org/entity/Q5328528","uk.org.publicwhip/cons/1580"
"http://www.wikidata.org/entity/Q1072667","uk.org.publicwhip/cons/56"
"http://www.wikidata.org/entity/Q16258076","uk.org.publicwhip/cons/1605"
"http://www.wikidata.org/entity/Q5418200","uk.org.publicwhip/cons/891"
"http://www.wikidata.org/entity/Q1077604","uk.org.publicwhip/cons/343"
"http://www.wikidata.org/entity/Q6747481","uk.org.publicwhip/cons/1599"
"http://www.wikidata.org/entity/Q1052935","uk.org.publicwhip/cons/394"
"http://www.wikidata.org/entity/Q1031928","uk.org.publicwhip/cons/484"
"http://www.wikidata.org/entity/Q7544484","uk.org.publicwhip/cons/1612"
"http://www.wikidata.org/entity/Q989270","uk.org.publicwhip/cons/19"
"http://www.wikidata.org/entity/Q1080350","uk.org.publicwhip/cons/27"
"http://www.wikidata.org/entity/Q42968204","uk.org.publicwhip/cons/757"
"http://www.wikidata.org/entity/Q7164618","uk.org.publicwhip/cons/1636"
"http://www.wikidata.org/entity/Q5017872","uk.org.publicwhip/cons/1690"
"http://www.wikidata.org/entity/Q7535845","uk.org.publicwhip/cons/1390"
"http://www.wikidata.org/entity/Q5896278","uk.org.publicwhip/cons/2017"
"http://www.wikidata.org/entity/Q56189424","uk.org.publicwhip/cons/914"
"http://www.wikidata.org/entity/Q988569","uk.org.publicwhip/cons/540"
"http://www.wikidata.org/entity/Q1077346","uk.org.publicwhip/cons/213"
"http://www.wikidata.org/entity/Q4854880","uk.org.publicwhip/cons/1104"
"http://www.wikidata.org/entity/Q42296856","uk.org.publicwhip/cons/878"
"http://www.wikidata.org/entity/Q988859","uk.org.publicwhip/cons/525"
"http://www.wikidata.org/entity/Q5179125","uk.org.publicwhip/cons/1577"
"http://www.wikidata.org/entity/Q874946","uk.org.publicwhip/cons/610"
"http://www.wikidata.org/entity/Q7085618","uk.org.publicwhip/cons/928"
"http://www.wikidata.org/entity/Q5505727","uk.org.publicwhip/cons/893"
"http://www.wikidata.org/entity/Q1077598","uk.org.publicwhip/cons/352"
"http://www.wikidata.org/entity/Q5566922","uk.org.publicwhip/cons/251"
"http://www.wikidata.org/entity/Q11003","uk.org.publicwhip/cons/611"
"http://www.wikidata.org/entity/Q751599","uk.org.publicwhip/cons/37"
"http://www.wikidata.org/entity/Q6516097","uk.org.publicwhip/cons/1262"
"http://www.wikidata.org/entity/Q11797252","uk.org.publicwhip/cons/1353"
"http://www.wikidata.org/entity/Q4869757","uk.org.publicwhip/cons/1534"
"http://www.wikidata.org/entity/Q6842052","uk.org.publicwhip/cons/1642"
"http://www.wikidata.org/entity/Q6658629","uk.org.publicwhip/cons/1269"
"http://www.wikidata.org/entity/Q5338163","uk.org.publicwhip/cons/207"
"http://www.wikidata.org/entity/Q5163171","uk.org.publicwhip/cons/814"
"http://www.wikidata.org/entity/Q5921455","uk.org.publicwhip/cons/1378"
"http://www.wikidata.org/entity/Q56185612","uk.org.publicwhip/cons/768"
