id,item,itemLabel.x,itemLabel.y,nuniq_id2item,nuniq_item2id
uk.org.publicwhip/person/10336,http://www.wikidata.org/entity/Q5391268,Robert Key,Robert Key,1,1
uk.org.publicwhip/person/19709,http://www.wikidata.org/entity/Q5392734,Ernest Armstong,Ernest Armstrong,1,1
uk.org.publicwhip/person/21784,http://www.wikidata.org/entity/Q5392745,Ernest Taylor,Ernest Taylor,1,1
uk.org.publicwhip/person/21782,http://www.wikidata.org/entity/Q5392952,Ernest Davies,Ernest Davies,1,1
uk.org.publicwhip/person/21783,http://www.wikidata.org/entity/Q5392953,Ernest Davies,Ernest Davies,1,1
uk.org.publicwhip/person/17381,http://www.wikidata.org/entity/Q5393062,Ernest Fernyhough,Ernest Fernyhough,1,1
uk.org.publicwhip/person/17497,http://www.wikidata.org/entity/Q5393103,Ernest Gates,Ernest Gates,1,1
uk.org.publicwhip/person/17574,http://www.wikidata.org/entity/Q5393154,Ernest Graham-Little,Ernest Graham-Little,1,1
uk.org.publicwhip/person/18013,http://www.wikidata.org/entity/Q5393389,Ernest Kinghorn,Ernest Kinghorn,1,1
uk.org.publicwhip/person/18336,http://www.wikidata.org/entity/Q5393524,Ernest Marples,Ernest Marples,1,1
uk.org.publicwhip/person/18714,http://www.wikidata.org/entity/Q5393661,Ernest Partridge,Ernest Partridge,1,1
uk.org.publicwhip/person/18748,http://www.wikidata.org/entity/Q5393677,Ernest Perry,Ernest Perry,1,1
uk.org.publicwhip/person/18799,http://www.wikidata.org/entity/Q5393694,Ernest Popplewell,Ernest Popplewell,1,1
uk.org.publicwhip/person/21781,http://www.wikidata.org/entity/Q5393892,Ernest Thornton,Ernest Thornton,1,1
uk.org.publicwhip/person/19306,http://www.wikidata.org/entity/Q5393898,Ernest Thurtle,Ernest Thurtle,1,1
uk.org.publicwhip/person/22599,http://www.wikidata.org/entity/Q5394708,Ernest Roberts,Ernie Roberts,1,1
uk.org.publicwhip/person/10513,http://www.wikidata.org/entity/Q5394713,Ernie Ross,Ernie Ross,1,1
uk.org.publicwhip/person/18484,http://www.wikidata.org/entity/Q5394834,Ernle Money,Ernle Money,1,1
uk.org.publicwhip/person/16842,http://www.wikidata.org/entity/Q5398559,Esmond Bulmer,Esmond Bulmer,1,1
uk.org.publicwhip/person/18175,http://www.wikidata.org/entity/Q5415467,Evan Luard,Evan Luard,1,1
uk.org.publicwhip/person/21789,http://www.wikidata.org/entity/Q5416253,Eveline Hill,Eveline Hill,1,1
uk.org.publicwhip/person/17313,http://www.wikidata.org/entity/Q5416313,Evelyn Emmet,Evelyn Emmet,1,1
uk.org.publicwhip/person/21791,http://www.wikidata.org/entity/Q5416357,Evelyn King,Evelyn King,1,1
uk.org.publicwhip/person/19435,http://www.wikidata.org/entity/Q5416462,Evelyn Walkden,Evelyn Walkden,1,1
uk.org.publicwhip/person/10677,http://www.wikidata.org/entity/Q544101,Sandra Gidley,Sandra Gidley,1,1
uk.org.publicwhip/person/16802,http://www.wikidata.org/entity/Q5443535,Fenner Brockway,Fenner Brockway,1,1
uk.org.publicwhip/person/18493,http://www.wikidata.org/entity/Q5444193,Fergus Montgomery,Fergus Montgomery,1,1
uk.org.publicwhip/person/10389,http://www.wikidata.org/entity/Q544947,Anne McIntosh,Anne McIntosh,1,1
uk.org.publicwhip/person/10200,http://www.wikidata.org/entity/Q545964,Lorna Fitzsimons,Lorna Fitzsimons,1,1
uk.org.publicwhip/person/18716,http://www.wikidata.org/entity/Q5460742,Florence Paton,Florence Paton,1,1
uk.org.publicwhip/person/26059,http://www.wikidata.org/entity/Q54670211,Anna Firth,Anna Firth,1,1
uk.org.publicwhip/person/17746,http://www.wikidata.org/entity/Q5467251,Alexander Hendry,Forbes Hendry,1,1
uk.org.publicwhip/person/22505,http://www.wikidata.org/entity/Q5478591,Joan Davidson,"Frances Davidson, Viscountess Davidson",1,1
uk.org.publicwhip/person/13836,http://www.wikidata.org/entity/Q5479812,Francie Molloy,Francie Molloy,1,1
uk.org.publicwhip/person/16591,http://www.wikidata.org/entity/Q5480165,Francis Beattie,Francis Beattie,1,1
uk.org.publicwhip/person/21793,http://www.wikidata.org/entity/Q5480756,Francis Douglas,"Francis Douglas, 1st Baron Douglas of Barloch",1,1
uk.org.publicwhip/person/18612,http://www.wikidata.org/entity/Q5482059,Francis Noel-Baker,Francis Noel-Baker,1,1
uk.org.publicwhip/person/21794,http://www.wikidata.org/entity/Q5482165,Francis Pearson,Francis Pearson,1,1
uk.org.publicwhip/person/16455,http://www.wikidata.org/entity/Q5484987,Frank Allaun,Frank Allaun,1,1
uk.org.publicwhip/person/19711,http://www.wikidata.org/entity/Q5485017,Frank Anderson,Frank Anderson,1,1
uk.org.publicwhip/person/16632,http://www.wikidata.org/entity/Q5485307,Frank Beswick,Frank Beswick,1,1
uk.org.publicwhip/person/21795,http://www.wikidata.org/entity/Q5485424,Francis Bowles,Frank Bowles,1,1
uk.org.publicwhip/person/17020,http://www.wikidata.org/entity/Q5485897,Frank Collindridge,Frank Collindridge,1,1
uk.org.publicwhip/person/10129,http://www.wikidata.org/entity/Q5485932,Frank Cook,Frank Cook,1,1
uk.org.publicwhip/person/17346,http://www.wikidata.org/entity/Q5486534,Frank Fairhurst,Frank Fairhurst,1,1
uk.org.publicwhip/person/17706,http://www.wikidata.org/entity/Q5487153,Frank Hatton,Frank Hatton,1,1
uk.org.publicwhip/person/17720,http://www.wikidata.org/entity/Q5487177,Frank Haynes,Frank Haynes,1,1
uk.org.publicwhip/person/17822,http://www.wikidata.org/entity/Q5487309,Frank Hooley,Frank Hooley,1,1
uk.org.publicwhip/person/22506,http://www.wikidata.org/entity/Q5487962,Francis Lilley,Frank Lilley,1,1
uk.org.publicwhip/person/18329,http://www.wikidata.org/entity/Q5488181,Frank Markham,Frank Markham,1,1
uk.org.publicwhip/person/18389,http://www.wikidata.org/entity/Q5488283,Frank McElhone,Frank McElhone,1,1
uk.org.publicwhip/person/18411,http://www.wikidata.org/entity/Q5488348,Frank McLeavy,Frank McLeavy,1,1
uk.org.publicwhip/person/18412,http://www.wikidata.org/entity/Q5488358,Frank McManus,Frank McManus,1,1
uk.org.publicwhip/person/18432,http://www.wikidata.org/entity/Q5488391,Frank Medlicott,Frank Medlicott,1,1
uk.org.publicwhip/person/21797,http://www.wikidata.org/entity/Q5489396,Frank Sanderson,Frank Sanderson,1,1
uk.org.publicwhip/person/19323,http://www.wikidata.org/entity/Q5489991,Frank Tomney,Frank Tomney,1,1
uk.org.publicwhip/person/10333,http://www.wikidata.org/entity/Q5493623,Fraser Kemp,Fraser Kemp,1,1
uk.org.publicwhip/person/19097,http://www.wikidata.org/entity/Q5496274,Fred Silvester,Fred Silvester,1,1
uk.org.publicwhip/person/21802,http://www.wikidata.org/entity/Q5496643,Freda Corbet,Freda Corbet,1,1
uk.org.publicwhip/person/21803,http://www.wikidata.org/entity/Q5496992,Frederic Bennett,Frederic Bennett,1,1
uk.org.publicwhip/person/21806,http://www.wikidata.org/entity/Q5497270,Frederick Cobb,Frederick Arthur Cobb,1,1
uk.org.publicwhip/person/16608,http://www.wikidata.org/entity/Q5497365,Frederick Bellenger,Frederick Bellenger,1,1
uk.org.publicwhip/person/22509,http://www.wikidata.org/entity/Q5497441,Frederick Burden,Frederick Burden,1,1
uk.org.publicwhip/person/17044,http://www.wikidata.org/entity/Q5497579,Frederick Corfield,Frederick Corfield,1,1
uk.org.publicwhip/person/17108,http://www.wikidata.org/entity/Q5497608,Frederick Cundiff,Frederick Cundiff,1,1
uk.org.publicwhip/person/14151,http://www.wikidata.org/entity/Q5497735,Frederick Erroll,"Frederick Erroll, 1st Baron Erroll of Hale",1,1
uk.org.publicwhip/person/17357,http://www.wikidata.org/entity/Q5497750,Frederick Farey-Jones,Frederick Farey-Jones,1,1
uk.org.publicwhip/person/17568,http://www.wikidata.org/entity/Q5497877,Frederick Gough,Frederick Gough,1,1
uk.org.publicwhip/person/21805,http://www.wikidata.org/entity/Q5498258,Frederick Lee,Frederick Lee,1,1
uk.org.publicwhip/person/18444,http://www.wikidata.org/entity/Q5498391,Frederick Messer,Frederick Messer,1,1
uk.org.publicwhip/person/21804,http://www.wikidata.org/entity/Q5498419,Frederick Montague,"Frederick Montague, 1st Baron Amwell",1,1
uk.org.publicwhip/person/19111,http://www.wikidata.org/entity/Q5498731,Frederick Skinnard,Frederick Skinnard,1,1
