speaker,person_id,wikidata,name2use
uk.org.publicwhip/lord/101097,uk.org.publicwhip/person/25040,Q1237673,Tariq Mahmood Ahmad
uk.org.publicwhip/lord/101138,uk.org.publicwhip/person/25149,Q1239784,Donald Curry
uk.org.publicwhip/lord/100402,uk.org.publicwhip/person/13123,Q1240108,Donald Mackay
uk.org.publicwhip/lord/100391,uk.org.publicwhip/person/12868,Q1240110,Donald Macaulay
uk.org.publicwhip/lord/101047,uk.org.publicwhip/person/24996,Q1240602,Guy Vaughan Black
uk.org.publicwhip/lord/100421,uk.org.publicwhip/person/13552,Q1243853,Doreen Massey
uk.org.publicwhip/lord/100309,uk.org.publicwhip/person/13073,Q1247228,Ros Howells
uk.org.publicwhip/lord/100183,uk.org.publicwhip/person/13001,Q1248084,Michael Turnbull 
uk.org.publicwhip/lord/100307,uk.org.publicwhip/person/13075,Q1251189,Elspeth Howe
uk.org.publicwhip/lord/100154,uk.org.publicwhip/person/13100,Q1251985,Douglas Croham
uk.org.publicwhip/lord/100642,uk.org.publicwhip/person/13541,Q125704,John Tomlinson
uk.org.publicwhip/lord/100293,uk.org.publicwhip/person/13226,Q1267670,Robin Hodgson
uk.org.publicwhip/lord/100785,uk.org.publicwhip/person/13200,Q1268843,Garry Hart
uk.org.publicwhip/lord/101129,uk.org.publicwhip/person/25068,Q1272406,Maurice Mark Glasman
uk.org.publicwhip/lord/100491,uk.org.publicwhip/person/13602,Q127742,Malcolm Pearson
uk.org.publicwhip/lord/100944,uk.org.publicwhip/person/13602,Q127742,Malcolm Pearson
uk.org.publicwhip/lord/100033,uk.org.publicwhip/person/13527,Q1291631,Edward Baldwin
uk.org.publicwhip/lord/101068,uk.org.publicwhip/person/25008,Q1292179,Edward Peter Lawless Faulks
uk.org.publicwhip/lord/100252,uk.org.publicwhip/person/13571,Q1292384,Ted Graham
uk.org.publicwhip/lord/101109,uk.org.publicwhip/person/25048,Q1293246,Raymond Edward Harry Collins
uk.org.publicwhip/lord/100450,uk.org.publicwhip/person/13705,Q129359,Michael Mustill
uk.org.publicwhip/lord/100791,uk.org.publicwhip/person/13482,Q129362,Elaine Murphy
uk.org.publicwhip/lord/100447,uk.org.publicwhip/person/13042,Q129679,Colin Moynihan
uk.org.publicwhip/lord/100647,uk.org.publicwhip/person/13538,Q1297871,Jean Trumpington
uk.org.publicwhip/lord/100956,uk.org.publicwhip/person/13928,Q1302609,Alan West
uk.org.publicwhip/lord/100923,uk.org.publicwhip/person/13737,Q1303976,Eileen Paisley
uk.org.publicwhip/lord/100911,uk.org.publicwhip/person/13724,Q1306769,John Lee
uk.org.publicwhip/lord/101058,uk.org.publicwhip/person/25007,Q1307966,Susan Jane Nye
uk.org.publicwhip/lord/100691,uk.org.publicwhip/person/13616,Q1310059,Richard Wilson
uk.org.publicwhip/lord/100949,uk.org.publicwhip/person/13922,Q1315749,Jean Coussins
uk.org.publicwhip/lord/101023,uk.org.publicwhip/person/14049,Q132040,Jack McConnell / Jack Wilson McConnell
uk.org.publicwhip/lord/100782,uk.org.publicwhip/person/13548,Q1321683,Kishwer Falkner
uk.org.publicwhip/lord/100974,uk.org.publicwhip/person/14132,Q1322709,John Charles Saxbee 
uk.org.publicwhip/lord/100822,uk.org.publicwhip/person/13447,Q132331,Ewen Cameron
uk.org.publicwhip/lord/100859,uk.org.publicwhip/person/12933,Q1328980,Michael Laurence Langrish 
uk.org.publicwhip/lord/100036,uk.org.publicwhip/person/13524,Q1331153,Elizabeth Barker
uk.org.publicwhip/lord/101106,uk.org.publicwhip/person/25049,Q1331156,Elizabeth Rose Berridge
uk.org.publicwhip/lord/101084,uk.org.publicwhip/person/25033,Q1331188,Elizabeth Deirdre Doocey
uk.org.publicwhip/lord/100624,uk.org.publicwhip/person/13206,Q1331326,Liz Symons
uk.org.publicwhip/lord/101164,uk.org.publicwhip/person/25186,Q1351767,Geoffrey Robert James Borwick
uk.org.publicwhip/lord/100232,uk.org.publicwhip/person/13061,Q1372065,Euan Geddes
uk.org.publicwhip/lord/100319,uk.org.publicwhip/person/13432,Q1374545,Jeremy Hutchinson
