person_id,speaker,person,personLabel
uk.org.publicwhip/person/25578,NA,http://www.wikidata.org/entity/Q5111042,Christine Hardman
uk.org.publicwhip/person/25581,NA,http://www.wikidata.org/entity/Q7487533,Shami Chakrabarti
uk.org.publicwhip/person/25582,NA,http://www.wikidata.org/entity/Q26227882,Olivia Bloomfield
uk.org.publicwhip/person/25583,NA,http://www.wikidata.org/entity/Q20713752,Philippa Roe
uk.org.publicwhip/person/25584,NA,http://www.wikidata.org/entity/Q26923155,"Jitesh Gadhia, Baron Gadhia"
uk.org.publicwhip/person/25585,NA,http://www.wikidata.org/entity/Q26703275,Mark McInnes
uk.org.publicwhip/person/25586,NA,http://www.wikidata.org/entity/Q26923547,"Liz Sugg, Baroness Sugg"
uk.org.publicwhip/person/25587,NA,http://www.wikidata.org/entity/Q26923548,"Charlotte Vere, Baroness Vere of Norbiton"
uk.org.publicwhip/person/25588,NA,http://www.wikidata.org/entity/Q5026566,Camilla Cavendish
uk.org.publicwhip/person/25589,NA,http://www.wikidata.org/entity/Q26225906,Gabrielle Bertin
uk.org.publicwhip/person/25590,NA,http://www.wikidata.org/entity/Q25849929,"John Boyle, 15th Earl of Cork"
uk.org.publicwhip/person/25591,NA,http://www.wikidata.org/entity/Q26923154,"Jonathan Caine, Baron Caine"
uk.org.publicwhip/person/25594,NA,http://www.wikidata.org/entity/Q26219490,Andrew Fraser
uk.org.publicwhip/person/25595,NA,http://www.wikidata.org/entity/Q7025819,Nicholas Macpherson
uk.org.publicwhip/person/25609,NA,http://www.wikidata.org/entity/Q4394632,Peter Ricketts
uk.org.publicwhip/person/25610,NA,http://www.wikidata.org/entity/Q29045611,"Alastair Colin Leckie Campbell, 4th Baron Colgrain"
uk.org.publicwhip/person/25708,NA,http://www.wikidata.org/entity/Q31130047,"Laura Wyld, Baroness Wyld"
uk.org.publicwhip/person/25713,NA,http://www.wikidata.org/entity/Q16976820,Ian Duncan
uk.org.publicwhip/person/25717,NA,http://www.wikidata.org/entity/Q33125088,"Richard Gilbey, 12th Baron Vaux of Harrowden"
uk.org.publicwhip/person/25718,NA,http://www.wikidata.org/entity/Q16150170,Theodore Agnew
uk.org.publicwhip/person/25719,NA,http://www.wikidata.org/entity/Q17712328,Rona Fairhead
uk.org.publicwhip/person/25720,NA,http://www.wikidata.org/entity/Q18205367,Ian Burnett
uk.org.publicwhip/person/25721,NA,http://www.wikidata.org/entity/Q5112399,Christopher Geidt
uk.org.publicwhip/person/25722,NA,http://www.wikidata.org/entity/Q2898066,Bernard Hogan-Howe
uk.org.publicwhip/person/25723,NA,http://www.wikidata.org/entity/Q14425000,Nick Houghton
uk.org.publicwhip/person/25724,NA,http://www.wikidata.org/entity/Q5112762,Christopher Lowson
uk.org.publicwhip/person/25725,NA,http://www.wikidata.org/entity/Q7422628,Sarah Mullally
uk.org.publicwhip/person/25728,NA,http://www.wikidata.org/entity/Q53870714,Diana Barran
uk.org.publicwhip/person/25729,NA,http://www.wikidata.org/entity/Q53750096,Pauline Bryan
uk.org.publicwhip/person/25730,NA,NA,NA
uk.org.publicwhip/person/25731,NA,http://www.wikidata.org/entity/Q5980556,Iain McNicol
uk.org.publicwhip/person/25732,NA,http://www.wikidata.org/entity/Q5052828,Catherine Meyer
uk.org.publicwhip/person/25733,NA,NA,NA
uk.org.publicwhip/person/25734,NA,http://www.wikidata.org/entity/Q53870715,Amanda Sater
uk.org.publicwhip/person/25735,NA,http://www.wikidata.org/entity/Q7368883,Rosie Boycott
uk.org.publicwhip/person/25736,NA,http://www.wikidata.org/entity/Q58652056,David Anderson
uk.org.publicwhip/person/25737,NA,http://www.wikidata.org/entity/Q5248192,Deborah Bull
uk.org.publicwhip/person/25738,NA,http://www.wikidata.org/entity/Q5076504,"Charles Courtenay, 19th Earl of Devon"
uk.org.publicwhip/person/25739,NA,http://www.wikidata.org/entity/Q6776851,Martin Warner
uk.org.publicwhip/person/25740,NA,http://www.wikidata.org/entity/Q55759645,"James Bethell, 5th Baron Bethell"
uk.org.publicwhip/person/25742,NA,http://www.wikidata.org/entity/Q53870716,Martha Osamor
uk.org.publicwhip/person/25743,NA,http://www.wikidata.org/entity/Q55583732,"Rupert Carington, 7th Baron Carrington"
uk.org.publicwhip/person/25744,NA,http://www.wikidata.org/entity/Q60881724,"Aeneas Mackay, 15th Lord Reay"
uk.org.publicwhip/person/25745,NA,http://www.wikidata.org/entity/Q62556766,"Daniel Mosley, 4th Baron Ravensdale"
uk.org.publicwhip/person/25770,NA,http://www.wikidata.org/entity/Q5451124,Fiona Twycross
uk.org.publicwhip/person/25776,NA,http://www.wikidata.org/entity/Q6968126,Natalie Bennett
uk.org.publicwhip/person/25777,NA,http://www.wikidata.org/entity/Q5110932,Christine Blower
uk.org.publicwhip/person/25778,NA,http://www.wikidata.org/entity/Q71332595,"David Brownlow, Baron Brownlow of Shurlock Row"
uk.org.publicwhip/person/25779,NA,http://www.wikidata.org/entity/Q5693856,Heather Hallett
uk.org.publicwhip/person/25780,NA,http://www.wikidata.org/entity/Q6238661,John Hendy
