person_id,family_name,given_name,item
uk.org.publicwhip/person/19206,Stoddart,David,https://www.wikidata.org/wiki/Q1176748
uk.org.publicwhip/person/17204,Dormand,Jack,https://www.wikidata.org/wiki/Q6112148
uk.org.publicwhip/person/21926,Gray,Hamish,https://www.wikidata.org/wiki/Q5645354
uk.org.publicwhip/person/22114,Hughes,Robert,https://www.wikidata.org/wiki/Q2157626
uk.org.publicwhip/person/17916,Janner,Greville,https://www.wikidata.org/wiki/Q1546121
uk.org.publicwhip/person/21902,Roberts,Wyn,https://www.wikidata.org/wiki/Q334627
uk.org.publicwhip/person/17516,Gilbert,John,https://www.wikidata.org/wiki/Q1700212
uk.org.publicwhip/person/18892,Rees,Peter,https://www.wikidata.org/wiki/Q336515
uk.org.publicwhip/person/22067,Hardy,Peter,https://www.wikidata.org/wiki/Q7174535
uk.org.publicwhip/person/22141,Edwards,Nicholas,https://www.wikidata.org/wiki/Q332902
uk.org.publicwhip/person/10636,Wilkinson,John,https://www.wikidata.org/wiki/Q6242279
uk.org.publicwhip/person/19368,Tugendhat,Christopher,https://www.wikidata.org/wiki/Q336205
uk.org.publicwhip/person/18673,Oppenheim,Sally,https://www.wikidata.org/wiki/Q1533969
uk.org.publicwhip/person/17000,Cocks,Michael,https://www.wikidata.org/wiki/Q6829324
uk.org.publicwhip/person/21748,Fisher,Doris,https://www.wikidata.org/wiki/Q3714285
uk.org.publicwhip/person/17430,Fookes,Janet,https://www.wikidata.org/wiki/Q222985
uk.org.publicwhip/person/18961,Roper,John,https://www.wikidata.org/wiki/Q1636045
uk.org.publicwhip/person/17717,Hayhoe,Barney,https://www.wikidata.org/wiki/Q333645
uk.org.publicwhip/person/18709,Parkinson,Cecil,https://www.wikidata.org/wiki/Q327810
uk.org.publicwhip/person/18478,Molyneaux,James,https://www.wikidata.org/wiki/Q1680843
uk.org.publicwhip/person/19176,Stallard,Jock,https://www.wikidata.org/wiki/Q1570046
uk.org.publicwhip/person/18184,Luce,Richard,https://www.wikidata.org/wiki/Q333905
uk.org.publicwhip/person/22520,Ewing,Harry,https://www.wikidata.org/wiki/Q11806772
uk.org.publicwhip/person/22508,Marsden,Frank,https://www.wikidata.org/wiki/Q5488186
uk.org.publicwhip/person/16408,Brittan,Leon,https://www.wikidata.org/wiki/Q332607
uk.org.publicwhip/person/18046,Lamont,Norman,https://www.wikidata.org/wiki/Q332546
